City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
camocim,41,BR,1612384743,73,-2.9022,-40.8411,81.97,16.28
carsamba,0,TR,1612384743,81,41.1989,36.7219,50.0,3.44
kapaa,75,US,1612384744,88,22.0752,-159.319,68.0,8.05
nikolskoye,75,RU,1612384744,93,59.7035,30.7861,21.99,13.42
san patricio,1,MX,1612384744,83,19.2167,-104.7,80.6,11.5
hovd,99,MN,1612384744,84,48.0056,91.6419,12.16,3.04
port elizabeth,75,ZA,1612384745,94,-33.918,25.5701,68.0,9.22
khatanga,99,RU,1612384745,92,71.9667,102.5,-5.1,9.19
jamestown,21,SH,1612384745,87,-15.9387,-5.7168,68.07,14.36
touros,20,BR,1612384745,61,-5.1989,-35.4608,84.2,18.41
kaeo,85,NZ,1612384745,76,-35.1,173.7833,70.0,7
huanren,0,CN,1612384746,86,41.2647,125.3667,-0.8,1.7
moose factory,1,CA,1612384746,92,51.2585,-80.6094,14.0,3.44
tura,100,RU,1612384806,85,64.2833,100.25,-21.6,2.26
selikhino,100,RU,1612384806,86,50.3672,137.4996,-22.58,6.78
cabo san lucas,20,MX,1612384806,22,22.8909,-109.9124,87.8,14.97
russell,98,NZ,1612384807,76,-35.2613,174.1236,70.0,7
huai mek,0,TH,1612384807,68,16.5898,103.2355,69.8,4.61
pangnirtung,20,CA,1612384807,64,66.1451,-65.7125,-13.0,5.75
harper,6,LR,1612384807,86,4.375,-7.7169,78.94,6.76
harer,0,ET,1612384808,36,9.3094,42.1258,54.01,6.4
teya,100,RU,1612384808,91,60.3778,92.6267,1.38,1.61
rio muerto,75,MX,1612384808,26,27.4167,-110.2333,82.4,5.75
srebrenica,0,BA,1612384808,61,44.1064,19.2969,44.6,6.91
fort nelson,75,CA,1612384809,70,58.8053,-122.7002,-9.4,2.3
hithadhoo,88,MV,1612384809,71,-0.6,73.0833,82.96,6.53
vardo,75,NO,1612384809,74,70.3705,31.1107,30.2,19.57
somerset east,1,ZA,1612384809,81,-32.7217,25.588,64.76,7.96
bahadurganj,0,IN,1612384810,51,26.2667,87.8167,59.2,5.39
cherskiy,100,RU,1612384810,84,68.75,161.3,10.47,6.96
antofagasta,40,CL,1612384810,68,-23.65,-70.4,73.99,17.27
daru,97,PG,1612384810,89,-9.0763,143.2092,77.45,13.4
syracuse,0,IT,1612384811,87,37.0881,15.2792,55.99,10.36
punta umbria,100,ES,1612384811,74,37.1821,-6.9661,60.01,5.01
chara,48,RU,1612384811,67,56.9064,118.2631,-28.28,0.65
hermagor,100,AT,1612384811,98,46.6272,13.3672,41.0,3.13
salalah,0,OM,1612384811,56,17.0151,54.0924,69.8,2.3
ramsgate,100,GB,1612384812,89,51.3358,1.4155,46.0,1.99
mar del plata,40,AR,1612384751,73,-38.0023,-57.5575,69.8,12.66
upernavik,17,GL,1612384812,70,72.7868,-56.1549,-14.62,5.48
voznesenye,85,RU,1612384812,97,61.0106,35.4781,14.95,2.57
yebaishou,0,CN,1612384813,83,41.3975,119.6408,8.51,4.5
saint-philippe,0,RE,1612384813,74,-21.3585,55.7679,80.6,4.61
longyearbyen,75,SJ,1612384813,68,78.2186,15.6401,23.0,13.8
kenosha,1,US,1612384813,51,42.5667,-88.0501,35.6,5.75
norman wells,75,CA,1612384814,67,65.282,-126.8329,-34.6,8.05
lima,20,PE,1612384689,64,-12.0432,-77.0282,75.2,9.22
laguna,100,BR,1612384710,86,-28.4825,-48.7808,79.21,17.65
klaksvik,20,FO,1612384814,74,62.2266,-6.589,32.0,4.61
plettenberg bay,16,ZA,1612384814,88,-34.0527,23.3716,66.67,4.43
clarence town,0,BS,1612384815,55,23.1,-74.9833,69.76,11.43
the valley,40,AI,1612384815,74,18.217,-63.0578,84.2,12.66
srednekolymsk,57,RU,1612384815,86,67.45,153.6833,-25.33,1.14
mehamn,75,NO,1612384815,69,71.0357,27.8492,30.2,25.32
dryden,90,CA,1612384816,74,49.7833,-92.7503,30.2,13.8
sistranda,20,NO,1612384816,67,63.7256,8.834,17.6,13.8
saint george,40,BM,1612384816,60,32.3817,-64.6781,68.0,29.93
qaanaaq,72,GL,1612384816,66,77.484,-69.3632,-21.08,4.05
sitka,90,US,1612384817,80,57.0531,-135.33,35.6,6.91
souillac,75,MU,1612384817,89,-20.5167,57.5167,78.8,11.5
ballina,100,IE,1612384817,100,54.1167,-9.1667,45.0,8.99
hofn,100,IS,1612384818,92,64.2539,-15.2082,32.11,14.23
cockburn town,40,TC,1612384818,56,21.4612,-71.1419,73.4,4.61
naryan-mar,86,RU,1612384878,94,67.6713,53.087,1.96,7.7
talnakh,100,RU,1612384879,86,69.4865,88.3972,-18.53,3.98
lebu,0,CL,1612384879,72,-37.6167,-73.65,63.14,12.95
xiangfan,76,CN,1612384879,46,32.0422,112.1448,44.98,5.32
balkhash,100,KZ,1612384644,94,46.844,74.9804,15.91,4.36
kruisfontein,6,ZA,1612384880,80,-34.0033,24.7314,71.01,1.01
florianopolis,40,BR,1612384880,70,-27.6146,-48.5012,86.0,11.5
praia da vitoria,40,PT,1612384880,76,38.7333,-27.0667,51.8,28.88
pizarro,83,CO,1612384881,80,4.9533,-77.366,82.27,8.03
noumea,66,NC,1612384881,99,-22.2763,166.4572,78.01,10.58
mayumba,100,GA,1612384881,86,-3.432,10.6554,80.11,6.22
kirakira,100,SB,1612384881,87,-10.4544,161.9205,79.47,17.22
vostochnyy,100,RU,1612384881,93,55.8167,37.8667,26.01,6.71
tahta,40,EG,1612384882,39,26.7693,31.5021,62.6,11.5
ayagoz,100,KZ,1612384882,98,47.9714,80.4392,24.31,12.15
ribeira grande,40,PT,1612384882,71,38.5167,-28.7,53.6,23.02
ancud,0,CL,1612384883,56,-41.8697,-73.8203,71.6,6.91
tessalit,0,ML,1612384883,18,20.1986,1.0114,71.65,13.18
mezen,74,RU,1612384883,93,65.8522,44.24,2.14,4.27
hambantota,20,LK,1612384883,83,6.1241,81.1185,77.0,11.5
saskylakh,66,RU,1612384884,79,71.9167,114.0833,-29.94,10.58
polewali,100,ID,1612384884,75,-3.4324,119.3435,77.18,2.98
tichilesti,75,RO,1612384884,93,45.1167,27.9,39.2,11.5
sao filipe,63,CV,1612384884,79,14.8961,-24.4956,72.12,9.91
hasaki,40,JP,1612384750,60,35.7333,140.8333,33.8,5.75
mahina,40,PF,1612384885,70,-17.5065,-149.489,84.2,3.44
farmington,20,US,1612384885,44,36.7281,-108.2187,59.0,4.61
bayburt,91,TR,1612384885,84,40.2589,40.2278,24.53,2.17
lompoc,20,US,1612384885,59,34.6391,-120.4579,60.8,14.97
inirida,90,CO,1612384885,70,3.8653,-67.9239,86.22,2.24
kangaatsiaq,40,GL,1612384886,87,68.3065,-53.4641,-3.95,11.7
isangel,20,VU,1612384886,74,-19.55,169.2667,82.4,5.75
pechenga,75,RU,1612384887,93,69.5259,31.1703,26.6,18.41
havelock,20,US,1612384887,29,34.8791,-76.9013,48.99,20.71
ostrovnoy,100,RU,1612384887,94,68.0531,39.5131,14.74,14.83
swan hill,99,AU,1612384662,29,-35.3378,143.5544,69.94,5.84
woodward,1,US,1612384887,29,36.4337,-99.3904,66.2,12.66
katsuura,40,JP,1612384888,65,35.1333,140.3,39.2,11.5
naliya,0,IN,1612384888,87,23.2667,68.8333,64.18,7.65
